seq,t,hipYawDeg,shoulderYawDeg,block,gt
2,1789038808.2072,32.5691,25.0341,(gap),9999
3,1789038808.3174,32.5405,25.0266,(gap),9999
4,1789038808.4083,30.1757,25.0190,(gap),9999
5,1789038808.4451,30.3140,23.3166,(gap),9999
6,1789038808.4913,30.3791,21.7611,(gap),9999
7,1789038808.5375,30.4709,21.9625,(gap),9999
8,1789038808.5848,30.5626,20.5029,(gap),9999
9,1789038808.6172,30.6270,20.7939,(gap),9999
10,1789038808.6489,28.3981,21.0609,(gap),9999
11,1789038808.6793,28.6105,19.6685,(gap),9999
12,1789038808.7253,28.7713,20.0251,(gap),9999
13,1789038808.7569,26.7314,18.7011,(gap),9999
14,1789038808.8020,26.9442,19.1520,(gap),9999
15,1789038808.8503,27.2753,17.8832,(gap),9999
16,1789038808.8926,27.5101,16.7328,(gap),9999
17,1789038808.9256,25.5704,15.6636,(gap),9999
18,1789038808.9571,25.9500,16.3415,(gap),9999
19,1789038808.9889,24.1239,15.2860,(gap),9999
20,1789038809.0345,22.4609,16.0014,(gap),9999
21,1789038809.0657,25.3109,16.6300,(gap),9999
22,1789038809.0970,25.7135,15.5271,(gap),9999
23,1789038809.1302,23.9087,14.5191,(gap),9999
24,1789038809.1765,22.2647,13.5935,(gap),9999
25,1789038809.2077,20.7740,12.7249,(gap),9999
26,1789038809.2534,19.4105,11.9213,(gap),9999
27,1789038809.2860,18.1154,11.1781,(gap),9999
28,1789038809.3175,16.9541,10.4969,(gap),9999
29,1789038809.3641,15.9234,9.8338,(gap),9999
30,1789038809.3958,14.9555,9.2260,(gap),9999
31,1789038809.4416,14.0104,8.6497,(gap),9999
32,1789038809.4877,10.8916,8.1354,(gap),9999
33,1789038809.5197,12.3833,7.6377,(gap),9999
34,1789038809.5665,9.4535,7.1480,(gap),9999
35,1789038809.6120,6.7852,6.7207,(gap),9999
36,1789038809.6451,4.3534,6.2668,(gap),9999
37,1789038809.6898,4.0971,7.4538,(gap),9999
38,1789038809.7368,3.8931,8.5032,(gap),9999
39,1789038809.7670,3.6984,7.8298,(gap),9999
40,1789038809.7982,3.4880,7.2569,(gap),9999
41,1789038809.8298,3.3344,6.7448,(gap),9999
42,1789038809.8745,3.1132,6.2885,(gap),9999
43,1789038809.9050,2.9468,5.8713,(gap),9999
44,1789038809.9376,2.7834,7.0496,(gap),9999
45,1789038809.9703,5.4325,8.1003,(gap),9999
46,1789038810.0161,5.1002,9.0338,(gap),9999
47,1789038810.0634,7.4716,9.8908,(gap),9999
48,1789038810.1087,7.0232,10.6726,(gap),9999
49,1789038810.1406,9.1833,11.3756,(gap),9999
50,1789038810.1717,8.6255,12.0242,(gap),9999
51,1789038810.2025,10.6667,12.6237,(gap),9999
52,1789038810.2466,10.0016,13.1800,(gap),9999
53,1789038810.2787,9.3993,13.6823,(gap),9999
54,1789038810.3103,11.3421,14.1042,(gap),9999
55,1789038810.3419,10.6230,14.4922,(gap),9999
56,1789038810.3743,9.9572,14.8452,(gap),9999
57,1789038810.4058,9.3543,15.2341,(gap),9999
58,1789038810.4354,8.7961,14.1760,(gap),9999
59,1789038810.4697,8.2385,13.2246,(gap),9999
60,1789038810.5143,7.7504,12.3511,(gap),9999
61,1789038810.5468,7.3016,11.5260,(gap),9999
62,1789038810.5786,6.8341,12.2955,(gap),9999
63,1789038810.6098,6.3883,12.9990,(gap),9999
64,1789038810.6553,5.9976,13.5815,(gap),9999
65,1789038810.6859,5.6512,14.1482,(gap),9999
66,1789038810.7168,5.2631,12.8973,(gap),9999
67,1789038810.7623,4.9885,11.8185,(gap),9999
