block,seq,yaw
sq_a@090,1,-1.6140
sq_a@090,2,-2.3240
sq_a@090,3,-1.6020
sq_a@090,4,-0.1420
sq_a@090,5,-0.1800
sq_a@090,6,-1.6240
sq_a@090,7,-0.1430
sq_a@090,8,-0.8580
sq_a@090,9,-0.7160
sq_a@090,10,-0.7160
sq_a@090,11,-0.7160
sq_a@090,12,-2.1360
sq_a@090,13,-1.4210
sq_a@090,14,0.0000
sq_a@090,15,-1.0020
sq_a@090,16,-1.2860
sq_a@090,17,-1.4300
sq_a@090,18,-2.1390
sq_a@090,19,-2.1390
sq_a@090,20,-3.0360
sq_a@090,21,-2.1390
sq_a@090,22,-0.5780
sq_a@090,23,-2.1400
sq_a@090,24,-1.4400
sq_a@090,25,-0.7180
sq_a@090,26,-1.6300
sq_a@090,27,-0.7230
sq_a@090,28,0.0000
sq_a@090,29,0.0000
sq_a@090,30,-2.1560
sq_a@090,31,-0.7200
sq_a@090,32,0.0000
sq_a@090,33,-2.1420
sq_a@090,34,-1.4360
sq_a@090,35,-1.4420
sq_a@090,36,-1.4350
sq_a@090,37,-3.7410
sq_a@090,38,-0.1440
sq_a@090,39,-0.7130
sq_a@090,40,-1.9180
sq_a@090,41,0.0000
sq_a@090,42,-2.3300
sq_a@090,43,-0.7130
sq_a@090,44,-2.1250
sq_a@090,45,-1.0450
sq_a@090,46,-2.1350
sq_a@090,47,-2.3140
sq_a@090,48,-3.0150
sq_a@090,49,-1.6050
sq_a@090,50,-1.9020
sq_a@090,51,-2.3140
sq_a@090,52,-0.9000
sq_a@090,53,-0.8590
sq_a@090,54,-2.1350
sq_a@090,55,-2.3270
sq_a@090,56,-3.0320
sq_a@090,57,-2.3250
sq_a@090,58,-3.0320
sq_a@090,59,-1.6150
sq_a@090,60,-0.9000
sq_a@090,61,-2.1920
sq_a@090,62,-1.6150
sq_a@090,63,-0.9000
sq_a@090,64,-1.6150
sq_a@090,65,-1.0430
sq_a@090,66,-0.9000
sq_a@090,67,-0.7110
sq_a@090,68,-1.6200
sq_a@090,69,-0.8990
sq_a@090,70,0.0000
sq_a@090,71,-2.4650
sq_a@090,72,-1.6030
sq_a@090,73,-0.8990
sq_a@090,74,-1.7550
sq_a@090,75,-1.0420
sq_a@090,76,-0.7140
sq_a@090,77,-1.7560
sq_a@090,78,-1.6130
sq_a@090,79,-1.6030
sq_a@090,80,-0.8930
sq_a@090,81,-1.7650
sq_a@090,82,-2.3240
sq_a@090,83,-0.9040
sq_a@090,84,-0.9000
sq_a@090,85,-0.8570
sq_a@090,86,0.3980
sq_a@090,87,-2.3350
sq_a@090,88,-1.6130
sq_a@090,89,-0.7230
sq_a@090,90,0.5810
sq_a@090,91,0.0000
sq_a@090,92,-1.7630
sq_a@090,93,-1.6090
sq_a@090,94,-0.1790
sq_a@090,95,-1.7510
sq_a@090,96,-3.0220
sq_a@090,97,-2.4480
sq_a@090,98,-3.0210
sq_a@090,99,-3.7190
sq_a@090,100,0.0000
sq_a@090,101,-1.6000
sq_a@090,102,-0.1460
sq_a@090,103,-1.6120
sq_a@090,104,-1.6130
sq_a@090,105,-2.3330
sq_a@090,106,0.0000
sq_a@090,107,-2.3340
sq_a@090,108,-3.0290
sq_a@090,109,-2.3250
sq_a@090,110,-1.7570
sq_a@090,111,-1.6150
sq_a@090,112,-0.7160
sq_a@090,113,-0.7190
sq_a@090,114,-1.5690
sq_a@090,115,-1.2850
sq_a@090,116,-1.4280
sq_a@090,117,-1.0090
sq_a@090,118,-1.6280
sq_a@090,119,-2.1250
sq_a@090,120,-3.0360
sq_a@090,121,-1.4390
sq_a@090,122,-3.9140
sq_a@090,123,-1.4400
sq_a@090,124,-1.5830
sq_a@090,125,-2.1400
sq_a@090,126,-0.1430
sq_a@090,127,-1.4310
sq_a@090,128,-1.9970
sq_a@090,129,-0.7140
sq_a@090,130,-0.7140
sq_a@090,131,-1.4320
sq_a@090,132,-0.7140
left30@090,133,-20.0300
left30@090,134,-19.0800
left30@090,135,-17.0040
left30@090,136,-17.7840
left30@090,137,-19.0300
left30@090,138,-18.0950
left30@090,139,-17.9000
left30@090,140,-17.7180
left30@090,141,-15.6630
left30@090,142,-20.8170
left30@090,143,-18.4940
left30@090,144,-19.3970
left30@090,145,-18.8280
left30@090,146,-18.6410
left30@090,147,-18.2110
left30@090,148,-18.9400
left30@090,149,-17.3000
left30@090,150,-18.3590
left30@090,151,-15.9390
left30@090,152,-17.3170
left30@090,153,-14.4970
left30@090,154,-15.8340
left30@090,155,-16.7620
left30@090,156,-15.3570
left30@090,157,-17.6380
left30@090,158,-16.6490
left30@090,159,-16.1330
left30@090,160,-16.1980
left30@090,161,-14.7650
left30@090,162,-17.0410
left30@090,163,-14.5070
left30@090,164,-15.3010
left30@090,165,-16.9460
left30@090,166,-14.5220
left30@090,167,-13.9300
left30@090,168,-15.5420
left30@090,169,-16.3150
left30@090,170,-13.7780
left30@090,171,-17.0910
left30@090,172,-13.7280
left30@090,173,-13.1880
left30@090,174,-14.6370
left30@090,175,-14.0040
left30@090,176,-15.7630
left30@090,177,-14.1200
left30@090,178,-14.3770
left30@090,179,-13.4800
left30@090,180,-17.4470
left30@090,181,-13.1410
left30@090,182,-14.3270
left30@090,183,-14.2620
left30@090,184,-15.9080
left30@090,185,-14.2520
left30@090,186,-11.6230
left30@090,187,-14.2770
left30@090,188,-13.2660
left30@090,189,-17.4520
left30@090,190,-17.3460
left30@090,191,-16.0450
left30@090,192,-16.8230
left30@090,193,-15.2360
left30@090,194,-15.9150
left30@090,195,-14.2450
left30@090,196,-15.1310
left30@090,197,-16.5510
left30@090,198,-14.8970
left30@090,199,-13.9640
left30@090,200,-15.9010
left30@090,201,-13.5730
left30@090,202,-13.3650
left30@090,203,-16.0610
left30@090,204,-15.2800
left30@090,205,-17.3160
left30@090,206,-15.9070
left30@090,207,-16.6210
left30@090,208,-14.1230
left30@090,209,-14.7780
left30@090,210,-15.7010
left30@090,211,-15.9330
left30@090,212,-16.5440
left30@090,213,-16.5470
left30@090,214,-12.3330
left30@090,215,-16.5450
left30@090,216,-12.5000
left30@090,217,-14.1370
left30@090,218,-15.1750
left30@090,219,-17.3110
left30@090,220,-15.1590
left30@090,221,-15.8580
left30@090,222,-16.6970
left30@090,223,-12.5040
left30@090,224,-14.1250
left30@090,225,-17.2030
left30@090,226,-15.1200
left30@090,227,-15.1230
left30@090,228,-15.0130
left30@090,229,-14.3260
left30@090,230,-15.1620
left30@090,231,-14.9370
left30@090,232,-11.6260
left30@090,233,-13.1480
left30@090,234,-12.6110
left30@090,235,-13.3220
left30@090,236,-13.3850
left30@090,237,-13.2200
left30@090,238,-15.8060
left30@090,239,-13.2700
left30@090,240,-15.1280
left30@090,241,-15.0030
left30@090,242,-17.4800
left30@090,243,-18.4320
left30@090,244,-16.7100
left30@090,245,-16.8280
left30@090,246,-17.4770
left30@090,247,-18.4200
left30@090,248,-16.6720
left30@090,249,-18.4180
left30@090,250,-16.7050
left30@090,251,-15.4500
left30@090,252,-13.4390
left30@090,253,-15.2910
left30@090,254,-14.2380
left30@090,255,-12.6150
left30@090,256,-15.1340
left30@090,257,-11.7920
left30@090,258,-16.8530
left30@090,259,-15.1110
left30@090,260,-17.0690
left30@090,261,-13.9690
left30@090,262,-15.0000
left30@090,263,-14.7640
right30@090,264,30.8400
right30@090,265,32.0680
right30@090,266,31.9590
right30@090,267,34.7490
right30@090,268,33.9190
right30@090,269,34.6120
right30@090,270,32.5670
right30@090,271,32.5090
right30@090,272,30.0790
right30@090,273,28.5820
right30@090,274,27.4310
right30@090,275,26.9820
right30@090,276,26.5790
right30@090,277,28.9450
right30@090,278,30.8200
right30@090,279,31.4400
right30@090,280,34.7400
right30@090,281,33.6050
right30@090,282,35.0080
right30@090,283,33.6030
right30@090,284,34.8460
right30@090,285,34.3140
right30@090,286,32.5320
right30@090,287,34.8510
right30@090,288,25.2960
right30@090,289,25.9400
right30@090,290,51.2620
right30@090,291,29.8300
right30@090,292,27.4910
right30@090,293,28.8320
right30@090,294,28.9550
right30@090,295,28.7310
right30@090,296,28.7470
right30@090,297,26.1560
right30@090,298,29.2050
right30@090,299,26.8750
right30@090,300,29.2290
right30@090,301,28.6270
right30@090,302,28.0400
right30@090,303,25.4030
right30@090,304,25.3960
right30@090,305,24.6730
right30@090,306,25.8090
right30@090,307,26.9180
right30@090,308,25.3920
right30@090,309,27.0510
right30@090,310,28.6100
right30@090,311,25.8060
right30@090,312,27.7560
right30@090,313,28.8060
right30@090,314,32.2520
right30@090,315,28.7190
right30@090,316,30.6460
right30@090,317,29.5850
right30@090,318,44.5050
right30@090,319,31.2680
right30@090,320,29.1600
right30@090,321,49.8600
right30@090,322,28.7870
right30@090,323,28.3670
right30@090,324,31.7920
right30@090,325,32.6710
right30@090,326,30.8510
right30@090,327,37.4500
right30@090,328,43.7250
right30@090,329,39.6070
right30@090,330,39.3020
right30@090,331,39.0900
right30@090,332,40.4050
right30@090,333,34.6510
right30@090,334,37.8810
right30@090,335,38.2920
right30@090,336,42.2280
right30@090,337,42.0160
right30@090,338,41.4230
right30@090,339,36.4700
right30@090,340,35.3660
right30@090,341,42.3690
right30@090,342,36.0140
right30@090,343,39.0960
right30@090,344,38.1000
right30@090,345,37.3570
right30@090,346,39.5410
right30@090,347,37.0550
right30@090,348,45.0380
right30@090,349,41.5390
right30@090,350,37.9680
right30@090,351,37.5380
right30@090,352,31.7420
right30@090,353,37.2680
right30@090,354,29.2350
right30@090,355,27.6480
right30@090,356,27.4020
right30@090,357,25.6970
right30@090,358,26.7290
right30@090,359,24.0010
right30@090,360,24.5270
right30@090,361,26.0380
right30@090,362,25.1130
right30@090,363,23.6640
right30@090,364,25.8780
right30@090,365,26.9270
right30@090,366,25.3490
right30@090,367,25.6090
right30@090,368,25.7800
right30@090,369,25.4140
right30@090,370,26.1450
right30@090,371,25.9400
right30@090,372,28.8800
right30@090,373,48.1260
right30@090,374,47.9440
right30@090,375,24.4970
right30@090,376,22.5350
right30@090,377,48.0780
right30@090,378,23.1380
right30@090,379,23.7530
right30@090,380,29.4340
right30@090,381,24.6260
right30@090,382,22.1890
right30@090,383,25.2580
right30@090,384,31.9980
right30@090,385,28.7310
right30@090,386,26.8530
right30@090,387,24.9160
right30@090,388,30.3180
right30@090,389,25.6170
right30@090,390,36.4520
right30@090,391,25.6520
right30@090,392,24.9790
right30@090,393,32.6120
right30@090,394,33.3840
right30@090,395,38.6160
left45@090,396,-19.4080
left45@090,397,-13.8890
left45@090,398,-17.0610
left45@090,399,-21.1170
left45@090,400,-22.6560
left45@090,401,-12.6200
left45@090,402,-19.5280
left45@090,403,-13.6260
left45@090,404,-25.7580
left45@090,405,-21.5110
left45@090,406,-21.4570
left45@090,407,-21.5280
left45@090,408,-21.5420
left45@090,409,-20.5700
left45@090,410,-22.0070
left45@090,411,-22.9520
left45@090,412,-22.9330
left45@090,413,-19.9890
left45@090,414,-21.7410
left45@090,415,-21.5080
left45@090,416,-21.2380
left45@090,417,-23.0660
left45@090,418,-19.5060
left45@090,419,-23.3210
left45@090,420,-23.4930
left45@090,421,-21.4800
left45@090,422,-22.7120
left45@090,423,-22.7060
left45@090,424,-23.4890
left45@090,425,-22.8870
left45@090,426,-23.4260
left45@090,427,-25.4480
left45@090,428,-23.0230
left45@090,429,-22.3090
left45@090,430,-21.4770
left45@090,431,-19.7460
left45@090,432,-22.9960
left45@090,433,-20.2210
left45@090,434,-23.1760
left45@090,435,-20.4570
left45@090,436,-25.0040
left45@090,437,-25.0690
left45@090,438,-23.0380
left45@090,439,-24.3800
left45@090,440,-21.7750
left45@090,441,-25.9350
left45@090,442,-25.1250
left45@090,443,-22.4570
left45@090,444,-19.0400
left45@090,445,-18.1340
left45@090,446,-19.5420
left45@090,447,-22.8750
left45@090,448,-22.2140
left45@090,449,-19.5350
left45@090,450,-21.1730
left45@090,451,-16.6500
left45@090,452,-20.9140
left45@090,453,-20.8990
left45@090,454,-21.1310
left45@090,455,-19.9170
left45@090,456,-18.1570
left45@090,457,-19.8390
left45@090,458,-19.6330
left45@090,459,-18.3640
left45@090,460,-22.1540
left45@090,461,-22.4020
left45@090,462,-18.7490
left45@090,463,-17.8950
left45@090,464,-21.1830
left45@090,465,-21.7390
left45@090,466,-20.3420
left45@090,467,-20.2990
left45@090,468,-20.5920
left45@090,469,-21.6880
left45@090,470,-22.7760
left45@090,471,-20.6550
left45@090,472,-30.8900
left45@090,473,-30.8350
left45@090,474,-33.0130
left45@090,475,-27.8410
left45@090,476,-33.2160
left45@090,477,-32.6510
left45@090,478,-32.1170
left45@090,479,-30.5810
left45@090,480,-31.0200
left45@090,481,-30.1660
left45@090,482,-28.1690
left45@090,483,-27.3780
left45@090,484,-25.9990
left45@090,485,-25.5830
left45@090,486,-26.0770
left45@090,487,-26.8630
left45@090,488,-25.8170
left45@090,489,-25.7450
left45@090,490,-27.0810
left45@090,491,-29.1490
left45@090,492,-26.9470
left45@090,493,-27.7420
left45@090,494,-29.0280
left45@090,495,-27.6090
left45@090,496,-27.6020
left45@090,497,-27.0420
left45@090,498,-26.5070
left45@090,499,-26.9980
left45@090,500,-27.4280
left45@090,501,-28.2980
left45@090,502,-27.7270
left45@090,503,-27.0280
left45@090,504,-27.7250
left45@090,505,-27.8020
left45@090,506,-27.2230
left45@090,507,-27.4230
left45@090,508,-27.9390
left45@090,509,-26.9480
left45@090,510,-26.0880
left45@090,511,-28.3650
left45@090,512,-25.9580
left45@090,513,-27.6490
left45@090,514,-27.6540
left45@090,515,-26.8890
left45@090,516,-28.3530
left45@090,517,-25.4260
left45@090,518,-28.9440
left45@090,519,-26.3600
left45@090,520,-27.3080
left45@090,521,-27.0040
left45@090,522,-26.0610
left45@090,523,-27.7560
left45@090,524,-25.2670
left45@090,525,-25.2720
left45@090,526,-25.3220
left45@090,527,-26.7930
left45@090,528,-24.5870
right45@090,529,30.4030
right45@090,530,31.1870
right45@090,531,30.1630
right45@090,532,31.3330
